Medicine_ID,Medicine_Name,Strength,Use_Case,Alternative,Stock,Dosage_Instruction,Synonyms
1,Paracetamol,500mg,"Fever, Headache","Crocin, Dolo",Yes,1 tablet every 6 hrs,"Acetaminophen, Tylenol"
2,Amoxicillin,250mg,Bacterial Infection,Augmentin,No,1 capsule every 8 hrs,Amoxil
3,Cetirizine,10mg,"Allergy, Cold",Levocetirizine,Yes,1 tablet at night,Zyrtec
4,Metformin,500mg,Diabetes,Glimepiride,Yes,1 tablet after meals,Glucophage
5,Ibuprofen,400mg,"Pain, Inflammation",Diclofenac,No,1 tablet every 8 hrs,"Advil, Motrin"
6,Ranitidine,150mg,Acidity,Famotidine,Yes,1 tablet before meals,Zantac
7,ORS Solution,200ml,Dehydration,Electral Powder,Yes,"As directed, sip slowly",—
8,Vitamin C,500mg,Immunity Boost,Zincovit,Yes,1 tablet daily,Ascorbic Acid
9,Azithromycin,500mg,Throat Infection,Clarithromycin,Yes,1 tablet daily for 3 days,"Z-Pak, Zithromax"
10,Insulin,10ml,Diabetes,Human Mixtard,No,As prescribed by doctor,—
11,Amlodipine,5mg,High Blood Pressure,Telmisartan,Yes,1 tablet daily,Norvasc
12,Atorvastatin,10mg,High Cholesterol,Rosuvastatin,Yes,1 tablet at night,Lipitor
13,Loratadine,10mg,"Allergies, Hives",Fexofenadine,No,1 tablet daily,Claritin
14,Omeprazole,20mg,"Acidity, GERD",Pantoprazole,Yes,1 capsule before breakfast,Prilosec
15,Salbutamol Inhaler,100mcg,Asthma,Asthalin Inhaler,Yes,2 puffs as needed,"Albuterol, Ventolin"
16,Metronidazole,400mg,Stomach Infection,Tinidazole,No,1 tablet three times a day,Flagyl
17,Diclofenac Gel,1%,"Joint Pain, Sprain","Volini, Voveran",Yes,Apply to affected area 3-4 times daily,Voltaren
18,Domperidone,10mg,"Nausea, Vomiting",Ondansetron,Yes,1 tablet before meals,Motilium
19,Ciprofloxacin,500mg,Urinary Tract Infection,Ofloxacin,No,1 tablet twice a day for 5 days,Cipro
20,Montelukast,10mg,"Asthma, Allergic Rhinitis",Levocetirizine,Yes,1 tablet in the evening,Singulair
21,Aspirin,75mg,Heart Attack Prevention,Clopidogrel,Yes,1 tablet daily,Acetylsalicylic Acid
22,Bisacodyl,5mg,Constipation,Dulcolax,No,1-2 tablets at bedtime,—
23,Dextromethorphan,10mg,Dry Cough,Benadryl DR,Yes,2 teaspoons every 6 hours,Robitussin
24,Sertraline,50mg,"Depression, Anxiety",Escitalopram,Yes,As prescribed by doctor,Zoloft
25,Clotrimazole Cream,1%,Fungal Skin Infection,Candid Cream,Yes,Apply thinly to the affected area twice daily,Lotrimin
26,Folic Acid,5mg,"Anemia, Pregnancy",Folvite,Yes,1 tablet daily,Vitamin B9
27,Glucosamine,500mg,Joint Health,Cartigen,No,1 tablet twice a day,—
28,Levothyroxine,50mcg,Thyroid Disorder,Eltroxin,Yes,1 tablet daily on empty stomach,Synthroid
29,Mebendazole,100mg,Worm Infections,Vermox,Yes,"1 tablet, repeat after 2 weeks if needed",—
30,Nifedipine,10mg,High Blood Pressure,Calcigard,No,As prescribed by doctor,Procardia
31,Prednisolone,5mg,"Inflammation, Allergy",Wysolone,Yes,As prescribed by doctor,—
32,Propranolol,40mg,"Migraine, Anxiety",Ciplar,No,As prescribed by doctor,Inderal
33,Spironolactone,25mg,Water Retention,Aldactone,Yes,1 tablet daily,—
34,Tramadol,50mg,Severe Pain,Ultram,No,1 capsule every 6 hours as needed for pain,—
35,Warfarin,2mg,Blood Clot Prevention,Coumadin,Yes,As prescribed and monitored by doctor,—
36,Zincovit Tablet,15mg,Vitamin Deficiency,Supradyn,Yes,1 tablet daily after meals,—
37,Telmisartan,40mg,High Blood Pressure,Telma,Yes,1 tablet daily,Micardis
38,Pantoprazole,40mg,"Acidity, Ulcers",Pantocid,Yes,1 tablet before breakfast,Protonix
39,Hydrochlorothiazide,12.5mg,High Blood Pressure,Aquazide,No,1 tablet daily in the morning,HCTZ
40,Gabapentin,300mg,"Nerve Pain, Seizures",Gabantin,Yes,As prescribed by doctor,Neurontin
41,Tamsulosin,0.4mg,Enlarged Prostate,Urimax,No,1 capsule daily after a meal,Flomax
42,Finasteride,1mg,Hair Loss,Finpecia,Yes,1 tablet daily,Propecia
43,Sildenafil,50mg,Erectile Dysfunction,Viagra,No,As prescribed by doctor,—
44,Mometasone Cream,0.10%,"Skin Allergy, Eczema",Elocon,Yes,Apply a thin layer once daily,—
45,Loperamide,2mg,Diarrhea,Imodium,Yes,"2 tablets initially, then 1 after each loose stool",—
46,Calcium with Vit D3,500mg,Bone Health,Shelcal,Yes,1-2 tablets daily,Caltrate
47,Iron Sucrose Inj.,100mg,Anemia,Venofer,No,Administered by a healthcare professional,—
48,Fluconazole,150mg,Fungal Infections,Zocon,Yes,"1 tablet, single dose",Diflucan
49,Pregabalin,75mg,"Nerve Pain, Fibromyalgia",Lyrica,No,As prescribed by doctor,—
50,Alprazolam,0.25mg,"Anxiety, Panic Disorder",Xanax,Yes,As prescribed by doctor,—
